8.400000, green, 3.310565, 0.517109, greenPlus, 0.627218, 4.710653, greenPlus, 2.611948, 5.903340, green, 4.933022, 0.084801, red, 2.234151, 4.032573, red, 4.655727, 2.556169, red, 3.731710, 4.779721, red, 7.229047, 6.706407
8.500000, green, 3.226170, 0.576033, greenPlus, 0.499640, 4.700186, greenPlus, 2.565228, 5.782510, green, 4.970760, 0.100956, red, 2.327722, 4.135600, red, 4.562858, 2.467182, red, 3.589036, 4.777047, red, 7.120411, 6.637539
8.600000, green, 3.284250, 0.385058, greenPlus, 0.516613, 4.734710, greenPlus, 2.572656, 5.412942, green, 5.009981, 0.011039, red, 2.272092, 4.176255, red, 4.500483, 2.514435, red, 3.684689, 4.597232, red, 7.055111, 6.739253
8.700000, green, 3.245572, 0.274143, greenPlus, 0.630975, 4.535049, greenPlus, 2.596188, 5.337066, green, 5.075914, 0.017783, red, 2.285418, 4.186319, red, 4.437967, 2.468227, red, 3.746728, 4.535660, red, 7.227473, 6.677617
8.800000, green, 3.181387, 0.142929, green, 0.654523, 4.407836, greenPlus, 2.611073, 5.295090, green, 5.063891, 7.991922, red, 2.284517, 4.131421, red, 4.466171, 2.482238, red, 3.763502, 4.321070, red, 7.233604, 6.722061
8.900000, green, 3.264059, 0.033772, green, 0.568638, 4.338977, greenPlus, 2.540568, 5.192241, green, 5.162733, 7.990492, red, 2.280301, 4.205558, red, 4.290444, 2.611293, red, 3.944813, 4.283651, red, 7.153590, 6.714609
9.000000, green, 3.069223, 0.073009, green, 0.631437, 4.165034, greenPlus, 2.387289, 5.207088, green, 5.238673, 0.029253, red, 2.345352, 4.090752, red, 4.072966, 2.736638, red, 3.871629, 4.106788, red, 7.067031, 6.659206
9.100000, green, 3.083489, 0.036676, green, 0.751120, 4.111567, greenPlus, 2.441829, 5.129138, green, 5.140224, 7.907491, red, 2.397578, 3.887636, red, 4.000727, 2.730531, red, 3.755682, 3.930271, red, 6.991445, 6.600050
9.200000, green, 3.176516, 7.972798, green, 0.619535, 4.049843, greenPlus, 2.510609, 5.020374, green, 5.020325, 7.891178, red, 2.467081, 3.795522, red, 3.920658, 2.731508, red, 3.805961, 3.711647, red, 6.909453, 6.550762
9.300000, green, 3.029491, 0.161613, green, 0.283606, 4.169285, greenPlus, 2.446934, 5.046136, green, 5.029557, 7.953048, red, 2.632079, 3.794035, red, 3.763458, 2.586609, red, 3.765138, 3.612149, red, 7.018697, 6.468327
9.400000, green, 3.188216, 0.062973, green, 0.144544, 4.265243, greenPlus, 2.460751, 5.033437, green, 4.969119, 7.864596, red, 2.605945, 3.660288, red, 3.622621, 2.323184, red, 4.012384, 3.633313, red, 6.896933, 6.584225
9.500000, green, 3.365372, 7.996511, green, 0.202040, 4.550278, greenPlus, 2.507466, 4.947426, green, 4.786289, 7.669602, red, 2.649887, 3.593175, red, 3.697499, 2.392104, red, 3.953936, 3.539876, red, 6.788217, 6.761022
9.600000, green, 3.390203, 7.784765, green, 0.334595, 4.621801, green, 2.503583, 5.038560, green, 4.856246, 7.531588, red, 2.727840, 3.595437, red, 3.644216, 2.318665, red, 3.995813, 3.337552, red, 6.798489, 6.765418
9.700000, green, 3.578000, 7.696638, green, 0.414331, 4.719321, green, 2.638493, 5.025814, green, 4.903370, 7.424591, red, 2.940240, 3.626224, red, 3.463181, 2.207571, red, 3.967436, 3.352601, red, 6.713177, 6.896782
9.800000, green, 3.492616, 7.703102, green, 0.699602, 4.670648, green, 2.523753, 4.919037, green, 5.076842, 7.299508, red, 3.035871, 3.732219, red, 3.498169, 2.050249, red, 4.086816, 3.429656, red, 6.651128, 7.031007
9.900000, green, 3.464586, 7.680801, green, 0.577734, 4.842751, green, 2.457340, 4.844437, green, 4.981786, 7.139503, red, 3.068619, 3.697519, red, 3.270280, 2.098722, red, 4.015749, 3.378901, red, 6.532701, 7.040033
